Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomePerPerson,PitchEffectiveness,FamilySize,IsFrequentTraveller,ProdTaken
31.0,1,1,17.0,2,1,2,3.0,0,3.0,0,4.0,1,3,1,1.0,1,17356.0,8678.0,9.0,3.0,1,0
38.0,1,1,18.0,3,0,4,6.0,1,4.0,0,7.0,0,4,1,1.0,2,23455.0,5863.75,24.0,5.0,1,1
28.0,1,1,13.0,2,1,3,5.0,0,3.0,0,3.0,0,2,1,2.0,1,21217.0,7072.33,10.0,5.0,0,0
37.0,1,1,20.0,2,0,3,3.0,0,5.0,1,2.0,0,4,1,0.0,1,18034.0,6011.33,12.0,3.0,0,0
46.0,1,3,27.0,2,0,3,4.0,1,3.0,2,2.0,0,1,1,1.0,2,23528.0,7842.67,4.0,4.0,0,0
28.0,1,1,14.0,2,0,2,4.0,0,4.0,2,2.0,0,4,0,1.0,1,17154.0,8577.0,16.0,3.0,0,1
41.0,0,1,9.0,3,0,3,2.0,1,4.0,0,3.0,0,3,0,2.0,2,22922.0,7640.67,6.0,5.0,0,0
45.0,1,3,8.0,2,1,3,6.0,1,4.0,2,8.0,0,3,0,2.0,2,21040.0,7013.33,18.0,5.0,1,1
39.0,1,1,9.0,3,0,3,5.0,3,3.0,1,5.0,1,5,1,2.0,3,26434.0,8811.33,25.0,5.0,1,0
24.0,1,1,13.0,2,1,4,2.0,0,5.0,1,3.0,1,3,0,1.0,1,20279.0,5069.75,6.0,5.0,0,1
48.0,1,3,21.0,3,1,3,4.0,1,5.0,2,4.0,0,2,0,2.0,2,23638.0,7879.33,8.0,5.0,1,0
37.0,0,3,15.0,3,1,3,3.0,3,4.0,1,2.0,0,1,1,2.0,3,23834.0,7944.67,3.0,5.0,0,0
38.0,1,1,9.0,0,1,4,5.0,0,3.0,2,8.0,1,3,0,1.0,1,20768.0,5192.0,15.0,5.0,1,1
31.0,0,3,11.0,3,0,2,3.0,0,4.0,1,2.0,0,3,0,0.0,1,17789.0,8894.5,9.0,2.0,0,0
33.0,0,3,6.0,2,0,2,1.0,1,5.0,1,3.0,0,3,0,1.0,2,20376.0,10188.0,3.0,3.0,0,0
43.0,0,1,36.0,2,0,4,4.0,1,3.0,1,4.0,0,3,1,2.0,2,23234.0,5808.5,12.0,6.0,1,0
38.0,1,3,6.0,2,0,2,4.0,1,3.0,2,5.0,0,1,0,1.0,2,23686.0,11843.0,4.0,3.0,1,0
48.0,1,1,21.0,3,0,3,3.0,3,3.0,1,2.0,0,3,0,0.0,3,33265.0,11088.33,9.0,3.0,0,1
44.0,0,1,23.0,2,1,3,5.0,0,3.0,2,3.0,0,4,1,0.0,1,17290.0,5763.33,20.0,3.0,0,0
47.0,1,1,25.0,3,0,3,4.0,1,3.0,1,4.0,0,5,0,1.0,2,23488.0,7829.33,20.0,4.0,1,0
52.0,1,1,16.0,2,1,4,4.0,0,3.0,1,5.0,0,3,1,1.0,1,20753.0,5188.25,12.0,5.0,1,0
60.0,1,3,22.0,3,1,2,3.0,1,5.0,2,1.0,0,4,1,0.0,2,20405.0,10202.5,12.0,2.0,0,0
49.0,1,1,13.0,2,1,2,4.0,3,3.0,2,1.0,0,2,1,1.0,3,25965.0,12982.5,8.0,3.0,0,0
30.0,0,1,15.0,3,1,3,3.0,1,5.0,1,2.0,0,1,1,1.0,2,18072.0,6024.0,3.0,4.0,0,0
47.0,1,1,7.0,3,1,4,4.0,3,5.0,1,2.0,0,1,0,3.0,3,28074.0,7018.5,4.0,7.0,0,0
34.0,1,3,27.0,2,1,3,1.0,1,3.0,2,2.0,0,3,0,0.0,2,20337.0,6779.0,3.0,3.0,0,0
43.0,0,1,33.0,3,0,3,4.0,3,5.0,1,5.0,1,3,0,1.0,3,31869.0,10623.0,12.0,4.0,1,0
36.0,0,1,24.0,3,0,3,3.0,0,3.0,2,2.0,0,3,1,2.0,1,17153.0,5717.67,9.0,5.0,0,0
54.0,1,1,13.0,2,1,3,4.0,1,3.0,2,4.0,0,5,1,1.0,2,21128.0,7042.67,20.0,4.0,1,0
43.0,1,1,36.0,2,1,4,4.0,1,4.0,0,3.0,0,3,1,2.0,2,23112.0,5778.0,12.0,6.0,0,0
34.0,1,1,15.0,2,1,4,4.0,1,3.0,2,4.0,1,3,0,3.0,2,25066.0,6266.5,12.0,7.0,1,0
37.0,0,1,10.0,1,1,3,4.0,0,4.0,0,3.0,0,3,1,2.0,1,22370.0,7456.67,12.0,5.0,0,0
33.0,1,1,6.0,2,1,3,4.0,0,5.0,2,4.0,1,4,1,1.0,1,17799.0,5933.0,16.0,4.0,1,0
35.0,1,1,15.0,3,0,4,4.0,1,3.0,2,5.0,0,4,0,2.0,2,24820.0,6205.0,16.0,6.0,1,0
32.0,0,1,30.0,2,1,3,3.0,1,3.0,0,2.0,0,4,1,0.0,2,20309.0,6769.67,12.0,3.0,0,0
38.0,1,1,7.0,2,0,4,4.0,1,4.0,1,8.0,0,1,1,3.0,2,25125.0,6281.25,4.0,7.0,1,0
44.0,0,1,34.0,2,0,3,4.0,3,5.0,0,2.0,0,4,0,1.0,3,29498.0,9832.67,16.0,4.0,0,0
47.0,1,1,8.0,3,0,2,3.0,4,3.0,0,4.0,0,5,1,0.0,0,32169.0,16084.5,15.0,2.0,1,0
56.0,1,1,13.0,2,1,2,5.0,3,3.0,2,5.0,0,1,0,0.0,3,22260.0,11130.0,5.0,2.0,1,0
44.0,1,1,6.0,3,1,2,3.0,0,3.0,2,7.0,1,4,0,1.0,1,17436.0,8718.0,12.0,3.0,1,0
31.0,1,1,15.0,2,0,4,2.0,3,5.0,0,2.0,1,2,0,3.0,3,30094.0,7523.5,4.0,7.0,0,0
40.0,1,1,15.0,2,1,2,3.0,0,5.0,2,4.0,0,1,1,1.0,1,17018.0,8509.0,3.0,3.0,1,1
28.0,1,1,14.0,3,0,3,5.0,1,5.0,2,2.0,0,3,1,1.0,2,25489.0,8496.33,15.0,4.0,0,0
31.0,1,1,9.0,2,1,4,4.0,0,4.0,2,3.0,0,3,0,1.0,1,30594.0,7648.5,12.0,5.0,0,1
36.0,1,1,16.0,3,1,3,4.0,1,3.0,2,3.0,0,4,0,2.0,2,23776.0,7925.33,16.0,5.0,0,0
